이름,학번,소속,시험1,시험2,시험3,시험4,시험5
서승운,20235458,콘텐츠IT전공,77,43,93,49,53
고도범,20277426,융합소프트웨어학과,67,43,87,52,47
김명빈,20324832,컴퓨터공학과,42,75,89,30,58
이승훈,20307405,빅데이터전공,46,77,71,56,52
안동우,20327385,콘텐츠IT전공,71,83,69,45,89
서호근,20287365,콘텐츠IT전공,84,89,50,28,76
서기제,20315494,빅데이터전공,47,72,61,32,88
서승제,20277417,스마트IoT전공,76,90,91,65,60
서준수,20295450,빅데이터전공,100,57,65,59,82
김경혁,20315508,빅데이터전공,96,82,57,24,100
이준민,20297333,콘텐츠IT전공,48,87,50,44,65
장도민,20287490,데이터테크전공,92,67,90,52,57
이준언,20297348,스마트IoT전공,54,82,49,24,71
최재규,20287394,전자공학과,63,79,71,40,100
김웅빈,20304876,빅데이터전공,65,46,65,56,65
김제용,20287360,전자공학과,78,43,41,24,76
김동우,20327511,전자공학과,79,64,44,56,56
신진근,20277479,전자공학과,70,70,54,28,49
김휘규,20285447,임상의학통계전공,100,100,68,42,49
정종혁,20267486,빅데이터전공,98,50,57,63,54
정동기,20297460,콘텐츠IT전공,87,91,49,33,73
장준근,20267467,콘텐츠IT전공,84,78,57,46,91
신봉형,20287415,빅데이터전공,61,53,65,55,97
강영용,20285526,빅데이터전공,70,96,46,45,90
서도운,20297418,데이터테크전공,50,48,36,31,77
이승수,20297411,광고홍보학과,48,41,35,64,86
김기환,20267415,스마트IoT전공,53,58,67,36,88
최정규,20297325,러시아학과,97,69,77,53,92
정예기,20307408,빅데이터전공,41,95,63,63,51
최성현,20277513,데이터테크전공,75,43,55,58,73
정재하,20317337,스마트IoT전공,57,42,84,28,72
이재근,20317601,스마트IoT전공,78,72,47,59,57
이웅훈,20317504,콘텐츠IT전공,96,96,95,71,56
조제기,20297467,데이터테크전공,60,44,77,36,67
김준혁,20277417,데이터테크전공,96,48,64,35,87
김성제,20297436,콘텐츠IT전공,72,65,56,44,52
신정형,20287459,빅데이터전공,68,85,36,43,61
정고기,20287368,콘텐츠IT전공,56,57,37,69,89
김현환,20274845,금융재무학과,98,72,71,48,84
서도규,20243932,콘텐츠IT전공,100,41,75,28,91
